#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:apes" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:apes" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:apes" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:apes" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:apes" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.apes" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:apes" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:apes" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:apes" name="distribution" x="@popSize.t:apes">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@apes" id="treeLikelihood.apes" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:apes">
#            <branchRateModel id="StrictClock.c:apes" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:apes" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:apes" shape="@gammaShape.s:apes" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:apes" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:apes" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:apes" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	popSize	CoalescentConstant
11200	-1304.566516799089	-1312.2991192999082	7.732602500819275	-1312.2991192999082	0.02420043109273368	1.0	0.7843586294646268	0.04229511920036665	5.353877545362475
11400	-1305.4759451789494	-1314.094463407419	8.618518228469672	-1314.094463407419	0.01916372961368018	1.0	0.7843586294646268	0.02961291592353093	5.883332193877674
11600	-1303.9300706442384	-1312.7609180083134	8.830847364075025	-1312.7609180083134	0.028416186478470266	1.0	0.7843586294646268	0.0208427378823816	5.7444562991274655
11800	-1305.0873595540293	-1313.162168991741	8.074809437711798	-1313.162168991741	0.03138041491483457	1.0	0.7843586294646268	0.014701445964139645	4.639358642048927
12000	-1304.1775026027276	-1312.676004154982	8.498501552254352	-1312.676004154982	0.03093819222046456	1.0	0.9003077978692248	0.01956448040021879	5.46476976883392
12200	-1308.4984889093537	-1316.2038072569908	7.705318347637182	-1316.2038072569908	0.04112237159388165	1.0	0.9003077978692248	0.02265315831902577	4.818170148866029
12400	-1303.7913825234161	-1312.7269214047853	8.935538881369187	-1312.7269214047853	0.025079107736194095	1.0	0.9003077978692248	0.020491976090865973	5.948124799578011
12600	-1304.3579109978925	-1312.9600582379653	8.602147240072824	-1312.9600582379653	0.031435236231973966	1.0	0.9003077978692248	0.016054316058347135	5.370677485677893
12800	-1303.3498336107195	-1312.114467848135	8.764634237415443	-1312.114467848135	0.02587636105741089	1.0	0.9003077978692248	0.014360206939424292	5.421647730642193
13000	-1304.683864217728	-1312.6026056350079	7.918741417280022	-1312.6026056350079	0.030469563439948385	1.0	0.9003077978692248	0.008375328367109754	4.03658422112273
13200	-1304.6872658066468	-1313.6346001932193	8.94733438657244	-1313.6346001932193	0.020168706063908696	1.0	0.9003077978692248	0.008085622544794025	5.029974395498776
13400	-1303.728031461926	-1312.349646998177	8.621615536250832	-1312.349646998177	0.029378109450565144	1.0	0.9003077978692248	0.017749490736775776	5.490524879761882
13600	-1303.5669243763796	-1312.1872267753322	8.620302398952706	-1312.1872267753322	0.02472780311657351	1.0	1.09900429741233	0.015725349852610843	5.566825467900667
13800	-1303.3917371684674	-1312.2938241550883	8.90208698662089	-1312.2938241550883	0.02454617101487616	1.0	1.09900429741233	0.011028280116767101	5.493798898394861
14000	-1303.555014575328	-1312.3096039204886	8.75458934516068	-1312.3096039204886	0.02604746009546288	1.0	1.09900429741233	0.0174532011797082	5.805361444108534
14200	-1305.0071310537357	-1312.9062957656624	7.899164711926598	-1312.9062957656624	0.028567129324754838	1.0	1.09900429741233	0.023224708952650466	5.235630483337719
14400	-1305.4289782312887	-1312.9657112838008	7.536733052512015	-1312.9657112838008	0.023479275132384195	1.0	1.09900429741233	0.03778039785003615	5.359772463665157
14600	-1305.9145844972547	-1313.0054074075024	7.0908229102477325	-1313.0054074075024	0.03176304317823876	1.0	1.09900429741233	0.04225278769485888	5.025742261247867
14800	-1307.2409381834646	-1314.8247070272616	7.583768843797055	-1314.8247070272616	0.027906862998957716	1.0	1.09900429741233	0.02593523910654694	5.0306204894424
15000	-1304.4213416805712	-1312.3876106983585	7.966269017787251	-1312.3876106983585	0.030326604278976512	1.0	1.09900429741233	0.026063902155667232	5.418069334067142
15200	-1304.4573489404306	-1313.0761100828722	8.618761142441675	-1313.0761100828722	0.022908216875161615	1.0	1.09900429741233	0.024506825494573163	6.008961831238343
15400	-1307.9432121833556	-1314.891936557757	6.948724374401241	-1314.891936557757	0.024421804807328192	1.0	2.1012263016506503	0.02057394946832845	5.166221083681888
15600	-1305.6046655957152	-1312.5689960885297	6.964330492814494	-1312.5689960885297	0.031324580112682146	1.0	2.1012263016506503	0.02385889512355022	5.329958624439779
15800	-1306.5211909287925	-1313.62216719004	7.10097626124742	-1313.62216719004	0.022661246673766434	1.0	2.1012263016506503	0.025421738022850363	5.530051919600011
16000	-1305.7389670844227	-1312.149162344581	6.4101952601584395	-1312.149162344581	0.027976305096014214	1.0	2.1012263016506503	0.04134851774681386	5.325702857144209
16200	-1305.9374271565623	-1312.2245186317198	6.28709147515746	-1312.2245186317198	0.02929246986344617	1.0	2.1012263016506503	0.04071077204164909	5.187055224583762
16400	-1305.9175980889652	-1312.5200148700026	6.602416781037396	-1312.5200148700026	0.022155044258726483	1.0	2.1012263016506503	0.04064379129820502	5.500733892442949
16600	-1306.1589219951393	-1312.060807069755	5.901885074615699	-1312.060807069755	0.028524391461320898	1.0	2.1012263016506503	0.05090117126096889	5.02524203159694
16800	-1304.739942123872	-1312.2879620029944	7.548019879122413	-1312.2879620029944	0.023787070168865873	1.0	1.0552790457379397	0.04146065244468579	5.420288489488651
17000	-1303.9649236166722	-1312.637561020263	8.672637403590873	-1312.637561020263	0.02615240920546155	1.0	0.3674452042309318	0.028576585934392044	5.484915037746557
17200	-1303.5764456886152	-1312.506150728036	8.929705039420677	-1312.506150728036	0.025376616793496877	1.0	0.3674452042309318	0.02571977338701227	5.636655053230723
17400	-1303.6370823504433	-1312.4078809685693	8.770798618125983	-1312.4078809685693	0.02633149931499476	1.0	0.3674452042309318	0.02899212858167659	5.5975129082998984
17600	-1304.1525636537276	-1312.7444060730431	8.591842419315523	-1312.7444060730431	0.02373777299009622	1.0	0.3674452042309318	0.03369818922541723	5.568976448295542
17800	-1303.9282417485683	-1312.4465231434883	8.51828139492	-1312.4465231434883	0.02572091721938982	1.0	0.3674452042309318	0.034319090795401616	5.51367310246216
18000	-1305.3403846029669	-1313.1309911872572	7.790606584290295	-1313.1309911872572	0.032740732171565534	1.0	0.27079025975087256	0.046339391830960794	4.989633959915007
18200	-1305.1193042909251	-1313.4845560058025	8.365251714877429	-1313.4845560058025	0.03310639108026415	1.0	0.27079025975087256	0.03585418228862822	5.307746916658117
18400	-1305.178755401823	-1313.5853964449634	8.406641043140304	-1313.5853964449634	0.024006752242464187	1.0	0.27079025975087256	0.036371024214779946	5.363448443489702
18600	-1306.2006588050263	-1314.2069295573524	8.006270752326134	-1314.2069295573524	0.03592021114234023	1.0	0.27079025975087256	0.04207329635825843	5.108718981757995
18800	-1304.5130815414818	-1312.812708397977	8.299626856495225	-1312.812708397977	0.024532847748002923	1.0	0.27079025975087256	0.04052594941274716	5.364604332439704
19000	-1304.8392196130997	-1312.9487480176583	8.109528404558576	-1312.9487480176583	0.03197409792892705	1.0	0.27079025975087256	0.04052594941274716	5.174505880503055
19200	-1304.682135043747	-1313.3729185886991	8.6907835449522	-1313.3729185886991	0.02852798660803476	1.0	0.27079025975087256	0.03366424475475166	5.570254813328751
19400	-1304.4900918384292	-1312.9288161251532	8.438724286724078	-1312.9288161251532	0.031914467907038016	1.0	0.27079025975087256	0.03266484199539578	5.288058598651396
19600	-1306.5253303389175	-1314.3600449320809	7.834714593163332	-1314.3600449320809	0.019879026037123736	1.0	0.27079025975087256	0.05375418032373208	5.182171011380422
19800	-1305.3421157045466	-1313.2516565343283	7.909540829781761	-1313.2516565343283	0.022610247599466855	1.0	0.27079025975087256	0.05027303769060298	5.190044713932853
20000	-1307.1150056743018	-1314.5103635194419	7.395357845140156	-1314.5103635194419	0.037855081058190895	1.0	0.27079025975087256	0.053380227315225154	4.735833228310543
20200	-1305.630797359445	-1313.5657619665797	7.934964607134589	-1313.5657619665797	0.03249903897721622	1.0	0.27079025975087256	0.04640442544338708	5.135394418522605
20400	-1305.573117368329	-1313.257261581094	7.684144212765274	-1313.257261581094	0.023500158022994995	1.0	0.27079025975087256	0.05700245661404359	5.090273558931838
20600	-1303.8791892312897	-1312.549117447091	8.669928215801345	-1312.549117447091	0.02775388232068149	1.0	0.27079025975087256	0.030717670688431467	5.457801278030484
20800	-1306.1638005797138	-1314.6644882542782	8.500687674564466	-1314.6644882542782	0.01936525813849798	1.0	0.27079025975087256	0.04011859343903926	5.555562558964883
21000	-1306.1387736605736	-1312.9418313874858	6.803057726912185	-1312.9418313874858	0.023171067380046127	1.0	0.38866466678717465	0.07756694134000938	4.635108437477123
21200	-1305.7131316927596	-1313.1247273074473	7.411595614687746	-1313.1247273074473	0.022392745384293405	1.0	0.38866466678717465	0.059346372348217415	4.975895998651179
21400	-1304.9335331868244	-1312.5232302896275	7.589697102802928	-1312.5232302896275	0.02980808623491225	1.0	0.38866466678717465	0.05087480808382342	4.99997436205547
21600	-1305.2526122235092	-1312.8338505516704	7.581238328161048	-1312.8338505516704	0.031184807499954507	1.0	0.4725026599801694	0.04683300535872901	4.992573906223787
21800	-1305.051826393802	-1312.6636218139156	7.611795420113612	-1312.6636218139156	0.030993022610909433	1.0	0.4725026599801694	0.047192161449725475	5.03077060893145
22000	-1309.0274440173855	-1315.8930196226324	6.8655756052468195	-1315.8930196226324	0.03990057472984256	1.0	0.4725026599801694	0.0651963059964353	4.607725797076029
22200	-1304.8222563684205	-1313.0365723253783	8.214315956957698	-1313.0365723253783	0.02201793320519592	1.0	0.4725026599801694	0.040514027500880526	5.480711610146555
22400	-1303.1708863562076	-1312.7548088230026	9.583922466795096	-1312.7548088230026	0.023050312057008988	1.0	0.4725026599801694	0.014671868688848665	5.834601813488607
22600	-1303.488415971134	-1313.3519694519553	9.86355348082142	-1313.3519694519553	0.021519055472622905	1.0	0.4725026599801694	0.009912362662542506	5.722083593707641
22800	-1304.840289436596	-1312.8250499477153	7.984760511119153	-1312.8250499477153	0.026846552808898316	1.0	0.45471159621593166	0.008340221919137473	3.6528066533788786
23000	-1304.6089332917397	-1313.9230893144122	9.314156022672485	-1313.9230893144122	0.021459431903038024	1.0	0.45471159621593166	0.01675251322776917	5.6796606303708685
