#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:apes" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:apes" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:apes" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:apes" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:apes" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.apes" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="GammaShapePrior.s:apes" name="distribution">
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#            <parameter id="gammaShape.s:apes" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#        </prior>
#        <prior id="PopSizePrior.t:apes" name="distribution" x="@popSize.t:apes">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">0.33</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@apes" id="treeLikelihood.apes" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:apes">
#            <branchRateModel id="StrictClock.c:apes" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:apes" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:apes" shape="@gammaShape.s:apes" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:apes" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:apes" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:apes" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	mutationRate	gammaShape	popSize	CoalescentConstant
11200	-1308.2676827944545	-1313.2015340596572	4.933851265202663	-1313.2015340596572	0.03349247959455787	1.0	0.5201086659818089	0.07105801854408092	4.560624635584318
11400	-1309.8063647834485	-1313.7012833055123	3.8949185220637412	-1313.7012833055123	0.022464970271803816	1.0	0.3133071208044776	0.14685434414637424	3.5445761824265296
11600	-1308.1515350774876	-1312.1523753258791	4.000840248391615	-1312.1523753258791	0.027454961538904164	1.0	0.9434248429308556	0.09984818935828772	4.13817273758355
11800	-1308.1708387866067	-1312.3605740571247	4.18973527051806	-1312.3605740571247	0.03020502915018315	1.0	1.3948238804897812	0.06766146449651844	4.680931267384771
12000	-1308.605267953444	-1313.7686673969085	5.163399443464533	-1313.7686673969085	0.020367481299639764	1.0	2.2025098253656172	0.013849149751954223	6.299213764769005
12200	-1306.300667048704	-1312.9098715591608	6.609204510456761	-1312.9098715591608	0.025060782714185992	1.0	0.30093365942763245	0.022966221897796516	5.871070157174287
12400	-1308.74508801452	-1312.6109737980607	3.865885783540649	-1312.6109737980607	0.021891149130414397	1.0	2.250411526640411	0.05389912709605517	5.170965373829313
12600	-1307.447861681209	-1312.1936447651788	4.745783083969943	-1312.1936447651788	0.027417610993300846	1.0	0.8155458526233788	0.06921628333789123	4.662412625216836
12800	-1311.305694944832	-1313.2262127873676	1.920517842535472	-1313.2262127873676	0.025626619851008864	1.0	1.5243575570419492	0.20791131481495673	2.966247062373861
13000	-1310.9843504979506	-1312.3655213271802	1.3811708292296194	-1312.3655213271802	0.030463140845623314	1.0	1.9477948897936095	0.21272217783196554	2.864915754598483
13200	-1311.227318471067	-1313.2190346347209	1.9917161636537384	-1313.2190346347209	0.03319664774952086	1.0	1.3464027118278135	0.20920872943425572	2.8634220977304126
13400	-1310.6621014117836	-1313.011395349991	2.349293938207487	-1313.011395349991	0.02168045288113902	1.0	1.2871402543405288	0.192964416924659	3.112512225373856
13600	-1313.8527120397366	-1312.3509015169213	-1.5018105228153837	-1312.3509015169213	0.03003623082384302	1.0	5.716640391751638	0.1425707929908658	3.53819995044757
13800	-1307.995811376409	-1311.9507844455356	3.9549730691266287	-1311.9507844455356	0.025551043942775655	1.0	1.8451000416936942	0.06174113002306168	4.878504819701929
14000	-1311.4123280864258	-1316.3273264703219	4.914998383896061	-1316.3273264703219	0.021273460677427174	1.0	0.7442652860793664	0.07603147004124086	4.780999439518183
14200	-1307.2359763409875	-1312.8255850885612	5.5896087475737986	-1312.8255850885612	0.02341696374855732	1.0	0.46766041816680853	0.05191151931873938	5.1059141755182065
14400	-1306.7023594276186	-1312.4326488129423	5.730289385323678	-1312.4326488129423	0.024202927468349154	1.0	0.5745949532674363	0.044475266520022455	5.330995248978661
14600	-1308.074871642012	-1313.5562019338922	5.481330291880102	-1313.5562019338922	0.0212460585906143	1.0	0.7711219090412527	0.045595143876913755	5.281956679057059
14800	-1308.5329845934623	-1312.4097309875053	3.876746394043052	-1312.4097309875053	0.029104133591314755	1.0	0.4649146572885821	0.13535600141389686	3.6431681280642563
15000	-1306.7214389534909	-1312.0950300286186	5.373591075127684	-1312.0950300286186	0.025696212816071585	1.0	0.9064117669588413	0.04295973555097949	5.3015212343860645
15200	-1308.4810517113947	-1312.9843000486142	4.50324833721956	-1312.9843000486142	0.0221386421728605	1.0	1.9868204716376836	0.035412602060400346	5.488717099670178
15400	-1307.1449680474416	-1313.069311538221	5.924343490779502	-1313.069311538221	0.021980851951005704	1.0	0.7681122533064625	0.029348565075198625	5.672728165246773
15600	-1307.2789477002557	-1312.7912954553296	5.512347755073859	-1312.7912954553296	0.022602525936016197	1.0	0.606041285701675	0.05320870571315916	5.170964918415011
15800	-1310.0099800892372	-1314.5331332993885	4.523153210151266	-1314.5331332993885	0.01846328262355594	1.0	2.26251955832117	0.031789481408047306	5.773341905793393
